Track Name; Popularity
Perfect ; 80
Khairiyat ; 75
Kalli Ivallu - From "Prem Adda ; 10
Let Me Down Slowly ; 86
Ola La ; 51
Something Just Like This ; 46
FRIENDS ; 79
Chameleon ; 53
Marethuhoyithe ; 52
Bad Boy (feat. Luana Kiara) ; 69
Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - DJ LBR Remix ; 57
Runaway ; 79
Wrap Me In Plastic - Marcus Layton Radio Edit ; 62
Fly Away ; 69
1, 2, 3 (feat. Jason Derulo & De La Ghetto) ; 68
Better Days ; 64
Paravashanadenu ; 58
Alone, Pt. II ; 74
Gaganave Baagi ; 47
Fake ; 65
Let Me Love You ; 85
Love Your Voice ; 71
Stereo Hearts (feat. Adam Levine) ; 83
Buttabomma - Telugu ; 65
Adelante - Y3mr$ Remix ; 52
Yeno Yeno Aagide ; 47
Faded ; 80
Landscape ; 44
Beautiful Life ; 49
Pogiren ; 64
Thunderlike ; 49
Sariyaagi ; 56
Bilionera - Radio Edit ; 27
Yarele Ninna Mechidavanu (From "Sipayi") ; 30
Humnava Mere ; 73
Pretty Girl ; 66
Señorita ; 82
Believer ; 89
Thanmayaladenu ; 51
Hero (feat. Christina Perri) ; 66
Talk ; 65
love nwantiti (ah ah ah) ; 82
Kathlalli Karadige ; 51
Symphony (feat. Zara Larsson) ; 77
Sum Sumne ; 36
My Oh My (feat. DaBaby) ; 76
Ainsi bas la vida ; 72
The Nights ; 87
Harleys In Hawaii ; 77
Say My Name ; 73
