Track Name; Popularity
Pasoori ; 79
Kesariya ; 77
No Love ; 82
Raataan Lambiyan (From "Shershaah") ; 78
Chaand Baaliyan ; 80
Heat Waves ; 85
Arabic Kuthu - Halamithi Habibo (From "Beast") ; 74
Tu Aake Dekhle ; 82
Ranjha (From "Shershaah") ; 79
We Rollin ; 79
; 0
STAY (with Justin Bieber) ; 86
295 ; 78
Insane ; 75
DESIRES ; 73
Dandelions ; 90
MIDDLE OF THE NIGHT ; 87
Agar Tum Saath Ho (From "Tamasha") ; 76
Doobey ; 64
Adiye - From "Bachelor" ; 74
Srivalli (From "Pushpa The Rise Part - 01") ; 72
Brown Munde ; 74
Rait Zara Si ; 69
As It Was ; 93
Night Changes ; 89
Dil Ko Karaar Aaya (From "Sukoon") ; 77
Unstoppable ; 83
TERE TE ; 77
Let Me Down Slowly ; 86
INDUSTRY BABY (feat. Jack Harlow) ; 80
Jugnu ; 74
Bhool Bhulaiyaa 2 Title Track ; 67
The Last Ride ; 76
Shayad ; 76
Mere Yaaraa (From "Sooryavanshi") ; 74
Kaise Hua (From "Kabir Singh") ; 74
Meri Jaan ; 71
Summer High ; 78
Pathala Pathala (From "Vikram") ; 69
Oo Antava Oo Oo Antava ; 67
Tujhe Kitna Chahne Lage (From "Kabir Singh") ; 75
Mehabooba ; 63
SPACESHIP ; 72
Jalabulajangu (From "Don") ; 67
Elevated ; 78
No Lie ; 83
Khairiyat ; 75
Mann Mera ; 77
Dippam Dappam (From "Kaathuvaakula Rendu Kaadhal") ; 72
Duniyaa (From "Luka Chuppi") ; 75
love nwantiti (feat. Dj Yo! & AX'EL) - Remix ; 79
Perfect ; 90
Vikram - Title Track ; 70
Na Ja ; 74
Infinity ; 84
Until I Found You ; 81
Kaadhal En Kaviye - From "Salmon 3D" ; 74
; 0
Megham Karukatha ; 64
Tum Se Hi ; 78
Baarishein ; 78
Chidiya ; 72
Akhiyaan ; 75
Kina Chir ; 71
Enemy (with JID) - from the series Arcane League of Legends ; 83
Señorita ; 82
Believer ; 89
MONEY ; 83
Blinding Lights ; 92
Arcade ; 76
Ma Belle ; 70
Harleys In Hawaii ; 77
Levels ; 77
