Track Name; Popularity
Head Above Water ; 67
Let Me Go (with Alesso, Florida Georgia Line & watt) ; 77
Don't Let Me Down ; 82
Unstoppable ; 83
Made You Look ; 91
Payphone ; 85
Criminal ; 73
Walls Could Talk ; 77
Baby Don't Hurt Me ; 83
Scars To Your Beautiful ; 75
Cheap Thrills ; 80
Hate Me ; 71
2002 ; 82
La La La (Brazil 2014) (feat. Carlinhos Brown) ; 64
Without Me ; 77
Say My Name ; 73
In the Name of Love ; 82
Oops!...I Did It Again ; 80
Roar ; 74
Memories Remix (feat. Nipsey Hussle & YG) ; 78
Takeaway ; 75
Say We're Sorry ; 46
I'm Good (Blue) ; 95
Chandelier ; 81
Coming To Get You ; 36
Toxic ; 57
Ain't My Fault ; 69
All We Know ; 72
Girls Like You (feat. Cardi B) - Cardi B Version ; 74
Titanium ; 37
Dark Horse ; 81
Symphony (feat. Zara Larsson) ; 77
Don't Make Sense ; 22
Take It Off ; 70
Closer ; 86
Diamonds ; 71
Chemistry ; 46
Genius (feat. Sia, Diplo, and Labrinth) ; 76
head first ; 62
Sugar ; 71
Just Dance ; 81
Something Just Like This ; 86
Habits (Stay High) ; 52
Havana (feat. Young Thug) ; 81
Lush Life ; 80
Nothing Breaks Like a Heart (feat. Miley Cyrus) ; 79
Price Tag ; 77
Die Young ; 79
Moves Like Jagger - Studio Recording From "The Voice" Performance ; 67
Whenever, Wherever ; 83
Night Changes ; 89
Hate Me (with Juice WRLD) ; 75
Americano / Dance Again (Glee Cast Version) (feat. Kate Hudson) ; 44
Worth It ; 67
Wolves ; 81
Stereo Hearts (feat. Adam Levine) ; 83
Levitating ; 84
Dusk Till Dawn (feat. Sia) - Radio Edit ; 77
Insomnia ; 64
Heart Attack ; 80
Blinding Lights ; 92
Who Says ; 78
Burn ; 68
One Drink Away ; 56
Last Hurrah ; 65
Work from Home (feat. Ty Dolla $ign) ; 78
Closer ; 86
Payroll (feat. Kranium) ; 40
Drag Me Down ; 81
Close To Me (with Diplo) (feat. Swae Lee) ; 65
Sucker ; 82
Diamonds ; 71
Teeth ; 79
Lovefool (feat. Pia Mia) ; 51
Sit Still, Look Pretty ; 75
That's My Girl ; 74
Still Falling For You - From "Bridget Jones's Baby" ; 73
Same Old Love ; 74
How Long ; 75
Youngblood ; 82
What Makes You Beautiful ; 86
New Rules ; 61
Die Young ; 79
All Night ; 72
Love Me Like You Do ; 62
Cool for the Summer ; 80
You Only Love Me ; 77
If the World Was Ending (feat. Julia Michaels) ; 79
Love Me Back ; 43
Break My Heart ; 79
Shut Up and Dance ; 85
Love Me Like You Do - From "Fifty Shades Of Grey" ; 80
Outside (feat. Ellie Goulding) ; 82
I Don’t Wanna Live Forever (Fifty Shades Darker) ; 80
You for Me ; 60
Bubblegum Bitch ; 79
Starving ; 76
Good Time ; 79
Lights - Sped Up Version ; 75
Confident ; 73
Simple Sound of Morning ; 36
Believe ; 18
House of Memories ; 83
Believer ; 89
Someone To You ; 73
Feel It Still ; 78
River ; 75
Spirits ; 72
Run ; 77
Happier ; 84
Demons ; 86
Electric Love ; 82
Safe And Sound ; 84
Atlantis - Extra Sped Up Version ; 75
High Hopes ; 83
Counting Stars ; 86
Colorado ; 60
Whatever It Takes ; 82
Pumped Up Kicks ; 84
I Wanna Be Yours ; 94
Ride ; 84
Things Will Get Better ; 59
Someday ; 75
So Tied Up ; 59
Astronaut ; 64
Wild & Free ; 60
JEKYLL & HIDE ; 52
Sharks ; 76
Problems ; 57
Rescue Me ; 71
Forever ; 74
Something That I Need to Know ; 32
Pompeii ; 78
Mountain Sound ; 63
Heroes (we could be) ; 73
Taxi ; 40
Killing Me ; 59
Van Horn ; 60
Pauses & Permutations ; 12
Geronimo ; 71
Are You Bored Yet? (feat. Clairo) ; 80
Bedroom Astronaut ; 15
Wolves Without Teeth ; 56
Be Your Love ; 61
Through To You ; 27
I Don't Wanna Talk (I Just Wanna Dance) ; 47
First ; 68
We Are Young (feat. Janelle Monáe) ; 78
Chöre ; 61
Still Don't Know My Name ; 79
